
WATCH THE HIVEMIND HERE: http://www.twitch.tv/angrydraco 

*** NOTE ***

This is a snap shot for the hour before Anarchy was restored. All names
listed may or may not be human, they are everyone who contributed inputs
for the past hour. At point of interest I took this snap to help others
identify and witness the clone bots motives.

EDIT: Typos.

*** END NOTE **

-- FULL LIST AUTOMATICALLY GENERATED FROM HIVEMIND -- 
Names listed are those ACTIVE for the past 20 minutes as of (16D 20H - Suspect Snapshot) - UTC: 21:26:09.668

CORE VERSIONING - playerData: b130 DEV | dataPacket: b120 DEV | dataCounts: b130 DEV | Analysis is now implemented as playerData.fastAnalyze<Troll|Bot>() | 

-- INPUT COUNTS ARE FROM THE PAST HOUR -- 

OF THE 1178 USERS... 1129 HAVE AT LEAST 1 INPUTS

IN	Θ60	Θ15	Θ2	LEFT	RIGHT	UP	DOWN	A	B	St	Sel	L	R	Wait	Demo	Anarch	Riot	Chat	Yes	No	σ	(σ-μ)	μT	σT	USERNAME
140	3	6	0	2.0	2.5	5.0	2.0	2.5	6.0	    	    	    	    	120	0	0	0	19	0	0	28.0	19.8	17.9	18.8	skeevadour
137	3	3	0	10.5	3.0	15.5	10.5	60.0	1.5	1.0	    	27.0	    	0	2	6	0	28	0	0	14.8	6.7	21.9	77.7	itdoesntmatte
130	8	8	11	    	    	    	    	    	    	17.0	    	    	    	0	1	112	0	0	0	0	26.4	18.8	6.7	27.4	skyjersey
127	1	3	0	    	    	    	38.5	3.0	42.5	    	    	    	    	0	0	43	0	1	0	0	15.7	8.2	13.5	73.3	reddylion
125	2	12	3	9.2	1.5	3.5	29.7	5.5	31.7	2.0	3.0	    	    	0	1	38	0	59	1	0	12.2	4.8	18.9	59.6	vitaprima
120	5	1	0	5.3	36.3	17.2	5.0	22.7	3.5	    	    	    	    	0	1	30	0	26	0	0	11.5	4.4	19.3	27.7	4dname
116	1	3	15	    	    	    	    	    	9.0	    	    	    	    	0	1	106	0	20	0	0	24.9	18.1	26.1	102.9	janbank
116	2	2	7	    	    	    	    	    	9.0	51.0	    	    	    	0	8	48	0	1	0	0	15.8	9.0	7.9	27.6	kitsunenyuu
115	20	20	4	5.5	46.0	46.0	5.0	12.5	    	    	    	    	    	0	0	0	0	4	0	0	14.7	7.9	5.9	7.4	symvhs123
111	3	2	0	2.0	5.5	9.5	8.0	63.5	9.5	    	    	    	    	0	1	12	0	29	0	0	14.8	8.3	25.8	82.3	kesi_miao
110	42	21	0	    	    	75.0	    	35.0	    	    	    	    	    	0	0	0	0	0	0	0	19.0	12.5	13.3	5.4	mawarumawaru
109	32	2	3	109.0	    	    	    	    	    	    	    	    	    	0	0	0	0	0	0	0	25.6	19.2	33.1	7.5	irregularnote
109	0	0	0	2.0	    	    	22.0	    	27.0	    	    	    	    	0	1	57	0	2	0	0	14.9	8.5	9.3	20.2	hot_water
106	2	1	0	3.5	13.3	9.5	7.5	43.8	22.3	1.0	    	    	    	0	4	2	0	46	1	0	11.1	4.8	23.3	40.6	midnightecho
105	0	6	0	6.0	1.0	5.0	4.0	21.0	2.0	8.0	    	    	    	0	1	57	0	19	1	0	13.7	7.5	28.4	119.4	joeyemerald
103	4	2	0	2.0	4.2	2.3	2.0	3.8	47.7	    	    	    	    	0	0	41	0	13	0	0	14.1	8.0	30.9	47.9	pikachu_sensei
102	10	1	0	13.5	4.0	30.0	5.5	19.5	14.5	2.0	    	    	    	0	2	11	0	68	0	0	8.5	2.5	21.3	21.4	kmjmaliez
100	0	0	0	5.0	    	3.0	15.5	49.0	19.5	1.0	    	    	    	0	0	7	0	7	0	0	12.2	6.3	28.2	64.1	dr_clipper
100	0	2	0	    	    	    	8.0	    	    	26.0	11.0	    	    	0	34	21	0	11	0	0	10.5	4.6	17.2	43.7	onemanleft
99	10	10	6	    	    	    	    	    	6.0	5.0	    	    	    	0	0	88	0	0	0	0	20.6	14.8	6.5	12.2	roboy1000
99	0	6	1	4.0	4.0	8.0	10.0	7.5	16.5	2.0	    	    	    	5	1	41	0	21	0	0	9.9	4.1	23.9	77.4	crosshera
97	1	3	3	5.0	1.0	1.0	7.0	4.0	4.0	1.0	    	    	    	22	1	51	0	25	2	1	12.5	6.8	26.3	57.7	akumetsutime
96	1	8	1	2.0	    	    	3.0	    	43.0	3.0	    	    	    	0	0	45	0	12	1	1	14.0	8.4	16.6	104.5	muchawesomeverycool
92	1	5	0	5.0	25.0	32.0	    	21.0	6.0	    	    	    	    	0	1	2	0	37	0	0	9.9	4.5	26.3	80.4	jumblie5
91	3	6	0	1.0	    	1.0	2.5	1.5	5.0	8.0	    	    	    	0	1	71	0	18	0	0	16.5	11.1	11.2	18.3	drewwitch
89	4	7	0	1.5	0.5	0.5	5.5	1.0	3.0	    	    	    	    	0	2	75	0	22	0	0	17.5	12.3	18.6	30.8	luckyest3
88	3	1	0	1.0	7.0	10.5	4.5	27.5	27.5	3.0	    	    	    	4	2	1	0	29	1	0	8.6	3.4	30.4	30.9	voidofcreativity
87	2	2	0	0.5	    	2.5	3.0	45.0	11.0	3.0	    	    	    	3	2	17	0	58	0	0	10.9	5.8	24.8	31.0	lazergatorz
87	5	1	2	8.5	2.0	2.5	15.5	11.0	10.5	1.0	    	    	    	1	1	34	0	27	0	0	8.6	3.5	31.4	45.6	phantasmald
84	3	7	0	    	    	    	37.0	    	16.0	2.0	    	    	    	0	1	28	0	26	1	0	10.8	5.9	22.7	57.1	moo_moo_moo_moo
84	19	19	0	    	    	    	    	    	    	    	    	    	    	0	0	84	0	12	0	0	19.8	14.9	5.3	5.1	the_star_king
84	8	3	1	1.5	1.0	5.0	4.5	27.0	25.0	1.0	    	    	    	0	0	19	0	64	0	0	8.9	4.0	24.4	18.6	peppey_pep
84	2	1	0	6.0	2.0	6.0	18.0	1.0	49.0	    	    	    	    	1	1	0	0	36	0	1	11.9	7.0	29.7	49.9	teipoi78
82	0	2	1	10.8	3.0	11.3	7.0	39.3	9.5	    	    	    	    	0	1	0	0	11	0	0	9.5	4.7	34.5	124.5	theukridge
80	2	0	0	8.0	2.0	14.0	1.0	29.0	23.0	2.0	    	    	    	0	0	1	0	0	0	0	8.6	3.9	45.4	115.6	junewind
77	3	1	1	3.0	    	2.0	6.0	1.0	5.0	    	    	    	    	0	3	57	0	9	0	0	13.2	8.7	16.1	30.8	goulartist
77	2	8	2	1.0	2.0	    	    	6.0	    	43.0	    	    	1.0	0	0	24	0	50	1	0	11.2	6.7	28.2	58.8	hhog
74	0	6	7	    	    	    	12.0	2.0	8.0	    	    	    	    	0	0	52	0	1	0	0	12.4	8.0	24.5	137.9	bassofthe
74	0	1	19	2.0	9.0	34.0	7.0	21.0	    	1.0	    	    	    	0	0	0	0	7	0	0	9.1	4.7	12.9	20.8	cleamaind
74	3	4	0	9.5	3.5	11.2	23.5	11.3	6.7	3.3	1.0	    	1.0	0	0	3	0	2	0	0	6.2	1.8	13.8	13.5	drphilhouse
73	2	5	2	    	2.0	1.0	23.0	    	10.0	2.0	    	    	    	0	6	29	0	23	0	0	8.4	4.1	11.3	11.6	nuniruro
72	4	4	1	    	    	    	    	6.0	    	    	    	    	    	31	0	35	0	2	0	0	10.6	6.4	6.1	7.5	siranae
71	0	0	0	    	    	    	0.5	    	2.5	1.0	    	    	    	5	0	62	0	0	2	0	14.5	10.3	14.1	26.6	mattplusbc
71	2	0	1	5.0	12.0	5.0	9.5	8.0	8.5	3.0	    	1.0	    	0	4	15	0	27	0	0	4.7	0.5	36.8	55.5	bulletcatcher123
70	0	2	0	3.0	0.5	2.5	4.5	9.5	3.0	3.0	    	    	    	0	1	43	0	36	0	1	10.0	5.9	31.1	89.7	pskribe
69	0	2	1	    	    	    	    	    	    	15.0	    	    	    	0	3	51	0	16	0	0	12.3	8.2	16.9	26.3	zp_707
69	5	6	1	1.0	    	    	9.0	    	5.0	4.0	    	    	    	0	1	49	0	9	0	0	11.5	7.4	12.0	14.2	forlornhope778
69	0	0	0	12.3	5.0	8.2	13.2	18.0	3.3	    	    	    	    	0	1	8	0	9	0	0	5.6	1.5	44.4	141.9	arh83
67	0	2	1	10.0	    	1.0	6.0	9.0	5.0	6.0	    	    	    	0	1	29	0	1	0	0	7.1	3.2	43.3	108.1	ktzghhh
66	0	0	2	13.0	5.0	3.0	22.0	3.0	20.0	    	    	    	    	0	0	0	0	9	0	0	7.0	3.1	18.2	35.2	zonextreme
65	3	3	5	10.0	10.0	39.0	    	    	3.0	    	    	    	    	0	3	0	0	2	0	0	9.4	5.6	13.5	36.0	kamikazeninja4
65	0	3	0	6.3	0.5	    	3.0	0.3	2.8	2.0	    	    	    	1	0	49	0	7	0	0	11.4	7.6	40.2	163.7	holyarcknight
65	11	11	0	    	    	    	    	    	1.0	1.0	    	    	    	0	0	63	0	0	0	0	14.8	11.0	8.4	8.2	punch83
