
WATCH THE HIVEMIND HERE: http://www.twitch.tv/angrydraco 

*** NOTE ***

This is a snap shot for the hour before Anarchy was restored. All names
listed may or may not be human, they are everyone who contributed inputs
for the past hour. At point of interest I took this snap to help others
identify and witness the clone bots motives.

EDIT: Typos.

*** END NOTE **

-- FULL LIST AUTOMATICALLY GENERATED FROM HIVEMIND -- 
Names listed are those ACTIVE for the past 20 minutes as of (16D 20H - Suspect Snapshot) - UTC: 21:26:09.668

CORE VERSIONING - playerData: b130 DEV | dataPacket: b120 DEV | dataCounts: b130 DEV | Analysis is now implemented as playerData.fastAnalyze<Troll|Bot>() | 

-- INPUT COUNTS ARE FROM THE PAST HOUR -- 

OF THE 1178 USERS... 1129 HAVE AT LEAST 1 INPUTS

IN	Θ60	Θ15	Θ2	LEFT	RIGHT	UP	DOWN	A	B	St	Sel	L	R	Wait	Demo	Anarch	Riot	Chat	Yes	No	σ	(σ-μ)	μT	σT	USERNAME
45	2	2	0	2.0	12.0	31.0	    	    	    	    	    	    	    	0	0	0	0	0	0	0	7.6	5.0	16.3	14.6	nty9g2ke
45	3	3	0	1.0	1.0	2.0	10.5	4.0	5.5	    	    	    	    	0	0	21	0	6	0	0	5.3	2.7	12.8	11.2	kenji_f
45	1	0	0	1.0	8.0	9.0	2.0	10.0	3.0	10.0	    	    	    	0	0	2	2	44	0	0	3.7	0.9	39.3	51.6	mxraccoon
45	2	2	0	2.0	12.0	31.0	    	    	    	    	    	    	    	0	0	0	0	0	0	0	7.6	5.0	16.3	14.4	o9m2gqg4mm
45	2	2	0	2.0	12.0	31.0	    	    	    	    	    	    	    	0	0	0	0	0	0	0	7.6	5.0	16.3	14.4	ujuorbk2p7
45	3	3	5	2.0	13.0	30.0	    	    	    	    	    	    	    	0	0	0	0	0	0	0	7.5	4.9	16.6	14.8	s8dn0llt6
45	4	4	4	2.0	13.0	30.0	    	    	    	    	    	    	    	0	0	0	0	0	0	0	7.5	4.9	16.3	14.6	ccxbbafv9
44	2	2	3	2.0	13.0	29.0	    	    	    	    	    	    	    	0	0	0	0	0	0	0	7.3	4.7	16.7	14.8	ftqs7d3xi
44	2	2	7	2.0	13.0	29.0	    	    	    	    	    	    	    	0	0	0	0	0	0	0	7.3	4.7	17.0	15.6	uizc5tae
44	2	2	3	2.0	13.0	29.0	    	    	    	    	    	    	    	0	0	0	0	0	0	0	7.3	4.7	16.7	15.1	y8zpaqzjbv
44	2	0	0	6.2	5.2	6.2	8.2	5.2	7.2	1.0	    	    	    	0	4	1	0	14	0	0	3.0	0.4	28.6	45.6	jabari315
44	2	2	0	2.0	12.0	30.0	    	    	    	    	    	    	    	0	0	0	0	0	0	0	7.4	4.8	16.7	14.6	pcs7x3jc
44	3	1	0	15.0	    	10.0	    	1.0	1.0	    	    	    	    	0	0	17	0	81	0	0	5.4	2.8	29.0	54.9	z33k33
44	2	2	4	2.0	13.0	29.0	    	    	    	    	    	    	    	0	0	0	0	0	0	0	7.3	4.7	16.7	14.9	ktn86l
44	4	4	0	    	    	    	1.0	    	1.0	    	    	    	    	0	0	42	0	1	0	0	9.9	7.3	9.8	9.1	evilpkk
44	2	2	1	2.0	13.0	29.0	    	    	    	    	    	    	    	0	0	0	0	0	0	0	7.3	4.7	16.4	14.8	n0eef6m
44	2	2	0	2.0	12.0	30.0	    	    	    	    	    	    	    	0	0	0	0	0	0	0	7.4	4.8	16.7	14.7	a04l090ni3
44	3	3	5	2.0	13.0	29.0	    	    	    	    	    	    	    	0	0	0	0	0	0	0	7.3	4.7	17.0	14.9	fjhmqbkp
43	0	1	0	    	1.0	5.5	1.0	17.5	6.0	4.0	    	    	    	0	2	6	0	6	0	0	4.4	1.9	74.6	163.5	teuchito
43	1	1	0	2.0	11.0	30.0	    	    	    	    	    	    	    	0	0	0	0	0	0	0	7.3	4.8	17.1	15.2	ceuovvt
43	1	1	0	2.0	12.0	29.0	    	    	    	    	    	    	    	0	0	0	0	0	0	0	7.2	4.7	17.1	15.1	mbat7hd8ae
43	1	1	0	2.0	11.0	30.0	    	    	    	    	    	    	    	0	0	0	0	0	0	0	7.3	4.8	17.1	15.5	mzri6iivq8
43	0	0	13	8.0	    	    	11.0	2.0	8.0	2.0	    	    	    	0	0	12	0	0	0	0	4.1	1.6	21.3	29.2	justtyperight
43	1	1	4	2.5	1.0	4.0	1.5	1.0	2.0	2.0	    	    	    	0	0	29	0	2	0	0	6.7	4.2	17.2	13.8	xelrach1
43	0	0	0	    	    	    	    	27.0	    	    	    	    	    	0	1	15	0	4	1	0	7.1	4.6	57.1	135.5	20239____
43	1	1	0	2.0	12.0	29.0	    	    	    	    	    	    	    	0	0	0	0	0	0	0	7.2	4.7	17.1	15.2	sbq9mi
42	1	1	0	2.0	12.0	28.0	    	    	    	    	    	    	    	0	0	0	0	0	0	0	7.0	4.5	17.5	15.4	dbauf2ib
42	1	1	0	2.0	11.0	29.0	    	    	    	    	    	    	    	0	0	0	0	0	0	0	7.1	4.6	17.5	15.4	ndgrzdd
42	2	2	0	2.0	11.0	29.0	    	    	    	    	    	    	    	0	0	0	0	0	0	0	7.1	4.6	17.8	15.5	el24zr
42	0	0	0	13.0	4.0	    	8.0	    	7.0	1.0	    	    	    	4	5	0	0	37	0	1	3.7	1.2	45.1	103.5	tbrocke
42	2	2	0	2.0	12.0	28.0	    	    	    	    	    	    	    	0	0	0	0	0	0	0	7.0	4.5	17.5	15.5	k5d1a2iyd
42	2	2	0	1.0	12.0	29.0	    	    	    	    	    	    	    	0	0	0	0	0	0	0	7.2	4.7	17.5	15.4	llo4q1s
42	2	2	0	2.0	12.0	28.0	    	    	    	    	    	    	    	0	0	0	0	0	0	0	7.0	4.5	17.5	15.3	whrgmy7q
42	2	2	0	2.0	12.0	28.0	    	    	    	    	    	    	    	0	0	0	0	0	0	0	7.0	4.5	17.5	15.3	y4qujxohj9
42	2	2	0	2.0	12.0	28.0	    	    	    	    	    	    	    	0	0	0	0	0	0	0	7.0	4.5	17.5	15.6	cwujy63iz
42	3	3	0	2.0	11.0	29.0	    	    	    	    	    	    	    	0	0	0	0	0	0	0	7.1	4.6	17.5	15.7	le9x9cahng
41	2	1	0	3.0	1.0	3.0	10.5	8.8	2.8	5.3	0.5	    	    	1	1	4	0	4	0	0	3.1	0.7	60.0	78.9	zheik41
41	4	4	1	2.0	10.0	29.0	    	    	    	    	    	    	    	0	0	0	0	0	0	0	7.1	4.7	18.0	15.7	jc7dcgh
41	1	1	0	2.0	12.0	27.0	    	    	    	    	    	    	    	0	0	0	0	0	0	0	6.8	4.4	17.1	15.0	z0h0dy
41	3	3	0	2.0	12.0	27.0	    	    	    	    	    	    	    	0	0	0	0	0	0	0	6.8	4.4	18.0	15.3	p95ks2vh
41	4	4	1	2.0	10.0	29.0	    	    	    	    	    	    	    	0	0	0	0	0	0	0	7.1	4.7	18.0	15.8	zu0to5fwno
41	0	0	1	    	    	    	    	    	    	    	    	    	    	0	0	41	0	7	0	0	9.6	7.2	74.7	48.0	pokemor
41	3	3	0	2.0	11.0	28.0	    	    	    	    	    	    	    	0	0	0	0	0	0	0	6.9	4.5	18.0	15.3	at9qd6agm
41	1	1	4	2.0	12.0	27.0	    	    	    	    	    	    	    	0	0	0	0	0	0	0	6.8	4.4	18.0	16.0	kg1kr9p
41	4	4	0	2.0	12.0	27.0	    	    	    	    	    	    	    	0	0	0	0	0	0	0	6.8	4.4	18.0	15.8	lkjdvipj
41	2	2	0	2.0	9.0	30.0	    	    	    	    	    	    	    	0	0	0	0	0	0	0	7.2	4.8	18.0	16.4	lu8c907
41	2	2	1	2.0	11.0	28.0	    	    	    	    	    	    	    	0	0	0	0	0	0	0	6.9	4.5	18.3	16.3	s1hh6za
40	5	5	0	2.0	12.0	26.0	    	    	    	    	    	    	    	0	0	0	0	0	0	0	6.6	4.2	18.4	16.1	oxgdtk
40	4	4	0	2.0	11.0	27.0	    	    	    	    	    	    	    	0	0	0	0	0	0	0	6.7	4.3	18.5	16.9	vuv7d10vs9
40	7	7	3	11.0	1.0	    	21.5	4.5	    	    	    	    	    	0	2	0	0	0	0	0	5.5	3.1	6.1	4.2	iqzpower
40	4	4	0	2.0	10.0	28.0	    	    	    	    	    	    	    	0	0	0	0	0	0	0	6.8	4.4	18.1	15.9	cgjaqm
40	3	3	2	1.5	0.5	0.5	6.5	1.0	6.0	2.0	    	    	    	0	1	21	0	5	0	0	5.1	2.7	15.0	8.6	weloveyoujoey
40	4	4	1	2.0	10.0	28.0	    	    	    	    	    	    	    	0	0	0	0	0	0	0	6.8	4.4	18.4	16.1	k44qxa2lj
40	1	1	0	2.0	11.0	27.0	    	    	    	    	    	    	    	0	0	0	0	0	0	0	6.7	4.3	18.4	15.3	wcucq5
40	1	1	1	0.5	    	0.5	2.0	0.5	7.5	    	    	    	    	0	0	29	0	15	0	0	6.9	4.5	52.3	165.9	tempylol
40	4	4	1	2.0	12.0	26.0	    	    	    	    	    	    	    	0	0	0	0	0	0	0	6.6	4.2	18.4	15.9	jkt0y9r3
40	4	4	1	2.0	12.0	26.0	    	    	    	    	    	    	    	0	0	0	0	0	0	0	6.6	4.2	18.4	16.0	wbtkvydut
40	4	4	0	1.0	11.0	28.0	    	    	    	    	    	    	    	0	0	0	0	0	0	0	6.9	4.5	18.7	16.6	hggnd75u
40	5	5	0	2.0	10.0	28.0	    	    	    	    	    	    	    	0	0	0	0	0	0	0	6.8	4.4	18.4	15.7	dp5n49a
40	0	1	0	1.0	1.0	    	1.5	    	5.5	    	    	    	    	0	0	31	0	4	1	0	7.3	4.9	22.7	33.4	berrypi
40	0	0	1	    	    	    	    	18.0	1.0	    	    	    	    	0	0	21	0	0	0	0	6.3	3.9	7.9	8.8	philliplikefrog
40	1	0	0	4.7	2.0	7.8	1.5	5.7	4.3	5.0	    	    	    	0	1	8	0	34	0	0	2.8	0.4	40.0	38.7	bzcoolness
39	2	2	0	2.0	11.0	26.0	    	    	    	    	    	    	    	0	0	0	0	0	0	0	6.5	4.2	18.9	16.1	z0xea8
39	1	1	0	1.0	11.0	27.0	    	    	    	    	    	    	    	0	0	0	0	0	0	0	6.7	4.4	19.2	16.7	i6vjfdlr
39	3	3	1	2.0	11.0	26.0	    	    	    	    	    	    	    	0	0	0	0	0	0	0	6.5	4.2	19.2	16.7	wv13sr3wrb
39	2	2	1	1.0	11.0	27.0	    	    	    	    	    	    	    	0	0	0	0	0	0	0	6.7	4.4	18.9	16.4	rl4vqv3cgi
39	1	0	0	5.3	1.0	2.3	6.5	12.0	4.8	1.0	    	    	    	0	0	6	0	11	0	0	3.4	1.1	71.1	184.7	viking024
39	3	3	1	2.0	11.0	26.0	    	    	    	    	    	    	    	0	0	0	0	0	0	0	6.5	4.2	18.9	16.4	w4tbkq4ce
39	1	1	5	2.0	10.0	27.0	    	    	    	    	    	    	    	0	0	0	0	0	0	0	6.6	4.3	18.9	16.6	sde2w50h7
39	0	0	2	2.0	10.5	    	2.0	1.0	9.5	1.0	    	    	    	0	1	12	0	13	3	1	4.0	1.7	46.9	117.4	shinimapu
39	3	3	0	2.0	11.0	26.0	    	    	    	    	    	    	    	0	0	0	0	0	0	0	6.5	4.2	18.9	15.4	si1laj1j
39	3	3	1	1.0	11.0	27.0	    	    	    	    	    	    	    	0	0	0	0	0	0	0	6.7	4.4	19.2	16.3	hc6w5fg
39	2	2	1	1.0	11.0	27.0	    	    	    	    	    	    	    	0	0	0	0	0	0	0	6.7	4.4	18.9	16.3	h8ewjix
39	4	4	0	1.0	11.0	27.0	    	    	    	    	    	    	    	0	0	0	0	0	0	0	6.7	4.4	18.6	16.3	uk877kt4
39	3	3	0	2.0	9.0	28.0	    	    	    	    	    	    	    	0	0	0	0	0	0	0	6.8	4.5	18.9	17.6	yxu0bebgop
39	0	2	0	2.0	16.0	21.0	    	    	    	    	    	    	    	0	0	0	0	6	0	0	6.0	3.7	30.2	119.6	bexxxxxxxx
39	2	2	1	1.0	11.0	27.0	    	    	    	    	    	    	    	0	0	0	0	0	0	0	6.7	4.4	19.2	16.5	sl0n481ip
38	2	2	0	1.0	11.0	26.0	    	    	    	    	    	    	    	0	0	0	0	0	0	0	6.5	4.3	19.5	16.5	qsjgq2k
38	3	3	0	1.0	11.0	26.0	    	    	    	    	    	    	    	0	0	0	0	0	0	0	6.5	4.3	19.4	16.5	ph692c
38	4	4	1	2.0	11.0	25.0	    	    	    	    	    	    	    	0	0	0	0	0	0	0	6.3	4.1	19.4	16.2	k5ojxt
38	2	2	1	1.0	11.0	26.0	    	    	    	    	    	    	    	0	0	0	0	0	0	0	6.5	4.3	19.7	17.1	tgt5mtnp
38	0	2	0	    	    	    	    	1.0	8.0	1.0	    	    	    	0	1	27	0	39	0	0	6.5	4.3	46.9	83.6	infernalvoid
38	4	4	1	2.0	11.0	25.0	    	    	    	    	    	    	    	0	0	0	0	0	0	0	6.3	4.1	19.7	16.6	b9qrkx
38	3	3	0	2.0	10.0	26.0	    	    	    	    	    	    	    	0	0	0	0	0	0	0	6.4	4.2	19.4	16.9	vxt31vh
38	2	2	0	1.0	10.0	27.0	    	    	    	    	    	    	    	0	0	0	0	0	0	0	6.6	4.4	19.7	16.8	nqi5qyu4
38	4	4	1	1.0	11.0	26.0	    	    	    	    	    	    	    	0	0	0	0	0	0	0	6.5	4.3	19.4	16.8	oswhmv
38	2	2	0	1.0	10.0	27.0	    	    	    	    	    	    	    	0	0	0	0	0	0	0	6.6	4.4	19.7	16.8	tv7f94d4f
38	1	0	0	3.0	5.0	1.5	3.5	    	25.0	    	    	    	    	0	0	0	0	27	0	0	5.9	3.7	30.1	78.6	wingedonetaro
38	4	4	1	2.0	11.0	25.0	    	    	    	    	    	    	    	0	0	0	0	0	0	0	6.3	4.1	19.7	17.2	pa3sadj
38	2	2	0	2.0	10.0	26.0	    	    	    	    	    	    	    	0	0	0	0	0	0	0	6.4	4.2	19.4	16.6	yoyv6bq
38	3	3	0	1.0	11.0	26.0	    	    	    	    	    	    	    	0	0	0	0	0	0	0	6.5	4.3	19.4	17.3	ckh3mk8onz
38	3	3	0	2.0	10.0	26.0	    	    	    	    	    	    	    	0	0	0	0	0	0	0	6.4	4.2	19.4	17.1	bdxdzbe24q
38	1	0	0	    	1.0	1.0	    	4.0	5.0	6.0	    	    	    	0	1	20	0	15	0	0	4.8	2.6	54.8	125.6	lightsabermario
38	1	1	0	1.0	10.0	27.0	    	    	    	    	    	    	    	0	0	0	0	0	0	0	6.6	4.4	19.4	16.7	xlryjxe4
38	4	4	1	2.0	11.0	25.0	    	    	    	    	    	    	    	0	0	0	0	0	0	0	6.3	4.1	19.7	17.2	rm64ffin34
38	1	1	1	1.0	11.0	26.0	    	    	    	    	    	    	    	0	0	0	0	0	0	0	6.5	4.3	19.7	16.9	uezazf
37	2	2	0	1.0	11.0	25.0	    	    	    	    	    	    	    	0	0	0	0	0	0	0	6.3	4.1	20.0	17.1	rdfi1qphg2
37	3	3	1	1.0	10.0	26.0	    	    	    	    	    	    	    	0	0	0	0	0	0	0	6.4	4.2	20.0	17.0	rxy5xtw6
37	2	2	1	1.0	10.0	26.0	    	    	    	    	    	    	    	0	0	0	0	0	0	0	6.4	4.2	20.0	17.0	aqatt6ny
37	0	0	3	5.5	    	0.5	8.0	6.5	6.5	4.0	    	    	    	0	1	5	0	2	0	0	2.9	0.7	89.8	163.0	haberdashering
37	0	0	0	2.0	    	16.0	    	11.0	1.0	    	    	    	    	0	0	7	0	30	0	0	4.5	2.3	20.9	23.5	awesomeness02
37	3	3	0	1.0	10.0	26.0	    	    	    	    	    	    	    	0	0	0	0	0	0	0	6.4	4.2	19.8	16.5	nf0u6hzs
37	4	4	0	2.0	11.0	24.0	    	    	    	    	    	    	    	0	0	0	0	0	0	0	6.0	3.8	20.0	16.8	fhdt8tcsxi
37	2	2	0	1.0	11.0	25.0	    	    	    	    	    	    	    	0	0	0	0	0	0	0	6.3	4.1	19.7	16.8	m9l7erkfzy
37	4	4	4	2.0	11.0	24.0	    	    	    	    	    	    	    	0	0	0	0	0	0	0	6.0	3.8	20.0	16.6	gpv23jw
37	1	1	0	1.0	10.0	26.0	    	    	    	    	    	    	    	0	0	0	0	0	0	0	6.4	4.2	20.0	16.9	tvvffor
37	1	1	0	1.0	11.0	25.0	    	    	    	    	    	    	    	0	0	0	0	0	0	0	6.3	4.1	19.7	16.9	yrj5sq
36	3	3	1	1.0	10.0	25.0	    	    	    	    	    	    	    	0	0	0	0	0	0	0	6.2	4.1	20.6	17.2	rxrncst0
36	1	1	1	1.0	9.0	26.0	    	    	    	    	    	    	    	0	0	0	0	0	0	0	6.3	4.2	20.5	17.1	hwh9eo3j
36	2	2	2	1.0	9.0	26.0	    	    	    	    	    	    	    	0	0	0	0	0	0	0	6.3	4.2	20.4	17.0	lc6osny
36	2	2	1	1.0	9.0	26.0	    	    	    	    	    	    	    	0	0	0	0	0	0	0	6.3	4.2	20.5	16.9	ptbo9k4mz
36	2	2	1	2.0	11.0	23.0	    	    	    	    	    	    	    	0	0	0	0	0	0	0	5.8	3.7	20.6	19.5	jto6r4ym
36	1	1	0	1.0	9.0	26.0	    	    	    	    	    	    	    	0	0	0	0	0	0	0	6.3	4.2	20.5	17.8	w21vpn
36	3	3	0	1.0	11.0	24.0	    	    	    	    	    	    	    	0	0	0	0	0	0	0	6.0	3.9	20.6	17.3	uqzvnyi
36	0	0	0	1.0	4.0	6.0	    	12.0	7.0	    	    	    	    	0	5	1	0	3	0	0	3.4	1.3	86.6	144.6	lallna
36	1	1	0	    	    	    	    	6.5	7.5	4.0	    	    	    	2	16	0	0	0	0	0	4.2	2.1	9.1	11.3	tokotsue
36	3	3	1	1.0	10.0	25.0	    	    	    	    	    	    	    	0	0	0	0	0	0	0	6.2	4.1	20.6	17.8	owf0hiqo0
36	2	2	0	2.0	10.0	24.0	    	    	    	    	    	    	    	0	0	0	0	0	0	0	6.0	3.9	20.9	17.8	e8tbmpm1w
36	3	3	1	1.0	10.0	25.0	    	    	    	    	    	    	    	0	0	0	0	0	0	0	6.2	4.1	20.6	17.4	zjv2q3d6y
36	5	5	0	1.0	11.0	24.0	    	    	    	    	    	    	    	0	0	0	0	0	0	0	6.0	3.9	20.2	17.2	c6bx0lubjz
35	2	2	1	1.0	10.0	24.0	    	    	    	    	    	    	    	0	0	0	0	0	0	0	6.0	3.9	21.2	17.6	zehyrhy
35	3	3	1	1.0	9.0	25.0	    	    	    	    	    	    	    	0	0	0	0	0	0	0	6.1	4.0	21.2	17.1	ddykr8ku2q
35	2	2	0	1.0	11.0	23.0	    	    	    	    	    	    	    	0	0	0	0	0	0	0	5.8	3.7	20.8	19.6	fa4cfndn9e
35	0	0	0	1.0	10.0	24.0	    	    	    	    	    	    	    	0	0	0	0	0	0	0	6.0	3.9	20.9	17.1	tf6dh6xr7
35	0	0	1	    	    	    	    	    	    	    	    	    	    	0	0	35	0	5	0	0	8.2	6.1	23.9	77.9	lelugia
35	1	1	1	1.0	10.0	24.0	    	    	    	    	    	    	    	0	0	0	0	0	0	0	6.0	3.9	20.9	17.3	m63vnv1x4w
35	2	2	2	1.0	10.0	24.0	    	    	    	    	    	    	    	0	0	0	0	0	0	0	6.0	3.9	21.2	18.4	vcuxc4506
35	2	2	0	1.0	10.0	24.0	    	    	    	    	    	    	    	0	0	0	0	0	0	0	6.0	3.9	21.2	18.9	zrbpiuw
34	1	0	0	1.0	2.0	2.0	3.5	1.0	1.5	    	    	    	    	0	1	22	0	4	0	0	5.1	3.1	27.0	40.9	madgodzulcan
34	3	3	1	1.0	10.0	23.0	    	    	    	    	    	    	    	0	0	0	0	0	0	0	5.7	3.7	21.8	18.0	jq8mjdo82n
34	0	0	0	5.0	    	1.5	12.0	3.5	2.0	4.0	    	    	    	2	1	3	0	1	0	0	3.0	1.0	85.0	158.9	vitruvius123
34	0	0	1	1.0	0.5	    	7.0	    	2.5	1.0	    	    	    	0	1	21	0	0	0	0	5.0	3.0	39.2	79.5	jt_icefire
34	1	1	0	    	    	    	    	    	    	    	    	    	    	0	0	34	0	2	0	0	8.0	6.0	11.2	15.1	stragasss
33	2	1	0	    	6.0	26.0	    	    	1.0	    	    	    	    	0	0	0	0	14	0	0	6.2	4.3	25.1	37.8	lockemanuel
32	1	0	0	2.5	5.0	8.0	11.5	1.0	2.0	    	    	    	    	0	2	0	1	5	0	0	3.2	1.3	48.6	57.9	helixfossil348
31	0	0	0	1.0	5.5	4.5	1.5	10.0	3.5	1.0	    	    	    	0	0	4	0	4	2	0	2.7	0.9	100.0	193.2	darbyrj
31	1	0	0	7.0	2.0	6.0	2.0	4.0	3.0	7.0	    	    	    	0	0	0	0	9	0	1	2.5	0.7	39.0	54.7	cracktail
31	1	1	0	3.0	8.0	19.0	    	    	    	    	    	    	    	0	1	0	0	0	0	0	4.7	2.9	25.5	55.7	usachaygunusa
31	5	5	1	    	    	    	4.0	    	3.0	    	    	    	    	0	0	24	0	0	0	0	5.7	3.9	16.1	13.0	doome1337
31	1	1	0	6.0	6.0	10.2	3.5	1.3	1.0	2.0	    	    	    	0	1	0	0	2	0	1	2.9	1.1	33.3	17.0	abnormalkayla
31	3	3	1	    	    	1.0	2.5	0.5	2.0	    	    	1.0	    	0	0	24	1	30	0	0	5.6	3.7	12.0	8.2	nolistentomeinstead
30	0	0	2	    	    	    	    	1.0	    	10.0	    	    	    	13	1	5	0	0	0	0	3.8	2.0	17.0	48.5	toastsandwich
30	0	0	0	1.0	2.0	9.0	    	    	2.0	3.0	    	    	    	0	13	0	0	0	0	0	3.6	1.8	26.4	28.2	shadowmander
30	1	1	0	1.0	3.0	5.0	2.0	2.0	    	    	    	    	    	0	17	0	0	1	0	0	4.1	2.3	18.2	18.4	lfckid59
30	0	1	0	2.0	5.0	11.0	1.0	2.0	6.0	    	    	    	    	0	1	2	0	10	0	0	2.9	1.1	77.3	113.7	kreissen
29	0	2	0	1.0	    	    	4.5	1.0	4.5	4.0	    	    	    	0	1	13	0	7	0	1	3.2	1.5	97.7	211.7	wolvenbird
28	0	0	0	3.0	7.0	11.0	    	7.0	    	    	    	    	    	0	0	0	0	0	0	0	3.3	1.7	65.4	97.1	jdragon56
28	0	0	8	    	    	    	    	    	    	    	    	    	    	0	0	28	1	2	0	0	6.6	4.9	16.9	33.9	thescus
28	2	0	0	2.0	1.0	1.0	4.5	    	5.5	    	    	    	    	0	1	13	0	14	0	0	3.3	1.7	35.1	36.1	atocci
27	1	1	0	2.0	    	    	5.5	2.5	1.0	10.0	    	    	    	0	0	6	0	6	0	0	2.8	1.2	11.7	16.6	erisawesome
26	1	0	0	    	3.0	4.0	    	3.0	1.0	1.0	    	    	    	0	0	14	0	0	0	0	3.4	1.9	41.2	26.3	joepwnsyou
26	1	1	16	    	    	    	    	    	    	    	    	    	    	0	0	26	0	1	0	0	6.1	4.6	7.6	17.5	udie2day
26	0	0	6	1.0	    	0.5	2.5	    	19.0	    	    	    	    	2	1	0	0	5	1	0	4.4	2.9	115.1	220.3	lucyfiddle
26	10	10	7	    	    	    	    	    	    	    	    	    	    	0	0	26	0	1	0	0	6.1	4.6	5.3	2.6	yumi_nurse
25	0	2	1	    	3.5	5.0	    	9.0	2.5	    	    	    	    	0	0	5	0	0	0	0	2.6	1.1	70.0	194.7	attemon
25	2	0	0	3.0	8.0	13.0	    	1.0	    	    	    	    	    	0	0	0	0	5	0	0	3.5	2.0	43.8	60.2	lqshatter
25	2	2	0	    	    	    	4.0	1.0	4.0	3.0	    	    	    	0	1	12	0	1	0	0	3.0	1.5	37.4	22.9	stevethaibinh
24	0	0	0	4.0	4.0	1.0	13.0	1.0	1.0	    	    	    	    	0	0	0	0	0	0	0	3.2	1.8	72.4	64.2	kerrebon
24	0	0	0	3.0	6.0	12.0	    	    	3.0	    	    	    	    	0	0	0	0	0	0	0	3.1	1.7	73.8	144.2	demonsoldierx
24	10	10	10	    	    	    	10.5	    	10.5	    	    	    	    	0	0	3	0	0	0	0	3.4	2.0	4.7	2.4	nidoking_armx
24	0	0	1	5.0	2.0	1.0	7.0	5.0	4.0	    	    	    	    	0	0	0	0	5	0	1	2.3	0.9	60.1	153.0	linkfanls
24	0	0	0	1.3	5.3	14.2	    	1.7	0.5	    	    	    	    	0	1	0	0	1	0	0	3.4	2.0	64.8	81.7	1233579353567365937563785
24	0	0	0	1.0	    	    	2.0	    	2.0	    	    	    	    	0	0	19	0	2	0	0	4.4	3.0	19.9	18.2	tiramisu424
23	4	4	0	1.0	7.0	10.0	    	1.0	    	2.0	    	    	    	0	2	0	0	0	0	0	2.7	1.3	32.2	19.3	sphealm
23	0	1	0	2.0	1.5	1.0	3.5	0.5	1.5	2.0	    	    	    	0	2	9	0	0	0	0	2.2	0.8	162.5	249.3	rymexia
23	0	0	0	    	    	    	10.0	    	    	    	    	    	    	0	0	13	0	1	0	0	3.7	2.3	15.0	15.9	kazkis_
23	1	1	0	1.0	12.0	10.0	    	    	    	    	    	    	    	0	0	0	0	0	0	0	3.5	2.1	12.3	20.0	crazer987
23	2	2	0	    	3.0	3.0	1.5	4.8	1.3	2.3	    	    	    	0	0	7	0	5	0	0	2.0	0.6	18.3	15.7	thefancygangster
23	0	0	0	7.0	    	3.0	3.5	4.0	1.5	1.0	    	    	    	0	3	0	0	14	1	0	2.0	0.6	78.2	152.9	heinekeiin
22	3	3	2	    	    	    	    	    	    	    	    	    	    	0	0	22	0	0	0	0	5.2	3.9	5.5	4.2	valence_d
22	1	1	1	    	    	    	    	1.0	    	    	    	    	    	10	0	11	0	0	0	0	3.4	2.1	11.8	21.0	vertaise
22	0	0	0	2.0	6.0	9.0	1.0	    	1.0	2.0	    	    	    	0	1	0	0	9	0	0	2.4	1.1	70.4	77.5	jn_vcf
22	0	0	0	1.5	2.5	4.0	2.0	8.0	2.0	1.0	    	    	    	0	1	0	0	5	1	0	2.0	0.7	117.8	137.0	the_arbba
22	0	0	0	0.5	    	    	3.5	    	    	2.0	    	    	    	0	0	16	0	0	0	0	3.8	2.5	44.3	26.4	sozinhotrmc
22	2	0	0	3.0	3.0	1.0	1.5	8.5	    	1.0	    	    	    	3	1	0	0	52	1	0	2.1	0.8	47.6	69.1	globegnome
22	0	0	0	    	    	    	0.5	    	0.5	    	    	    	    	0	0	21	0	9	0	0	4.9	3.6	51.4	116.0	spoon_rhythm
22	0	0	0	    	    	    	    	    	    	    	    	    	    	0	0	22	0	1	0	0	5.2	3.9	41.0	156.5	16bitlink
21	0	0	0	    	8.0	7.0	    	    	    	    	    	    	    	0	0	6	0	3	0	0	2.7	1.5	19.8	26.8	navyjamie
21	0	1	0	1.0	6.0	11.0	    	    	2.0	    	    	    	    	1	0	0	0	6	0	0	2.8	1.6	40.9	63.1	mustbedusty
21	1	0	0	4.0	6.0	5.0	    	    	2.0	3.0	    	    	    	0	1	0	0	11	0	0	2.0	0.8	62.3	76.9	thsinker
21	0	2	0	    	    	1.0	1.0	1.0	5.0	    	    	    	    	4	0	9	0	1	0	0	2.4	1.2	64.6	170.8	sopp90
21	1	1	0	    	1.0	    	3.0	    	    	4.0	    	    	    	1	1	11	0	0	0	0	2.7	1.5	43.1	22.9	hakunaamoscato
21	0	2	1	    	0.5	1.5	0.5	3.0	    	7.5	    	    	    	0	0	8	0	10	0	0	2.5	1.3	116.2	177.0	soloacapello
21	0	1	0	3.0	7.0	8.0	3.0	    	    	    	    	    	    	0	0	0	0	9	0	1	2.5	1.3	103.7	241.1	kaytburnett
21	0	1	0	2.0	7.0	10.0	1.0	    	    	    	    	    	    	0	1	0	0	1	0	0	2.8	1.6	76.0	98.7	7777777777777777777777779
21	0	0	2	    	    	    	    	    	    	9.0	    	    	    	0	0	12	0	0	0	0	3.4	2.2	23.7	32.3	carbonicrat
